DEPTH,DEPT,CALI,COND,DENS,GR,NPHI,RES,SONIC,One-way time,Input interval velocity,Output interval velocity,Drift,RC,AI,Resampled AI,Input interval velocity,Output interval velocity,Calibrated sonic log,Residual drift log
952,952,-999.25,-999.25,1.958099961,-999.25,0.566299975,-999.25,63.79999924,-33.63599396,2372623.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.28946877
952.5,952.5,-999.25,-999.25,1.929499984,-999.25,0.510699987,-999.25,69.69999695,-33.63099289,2372854.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.29903412
953,953,-999.25,-999.25,1.926100016,-999.25,0.500699997,-999.25,76.69999695,-33.62599182,2373085.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.30859566
953.5,953.5,-999.25,-999.25,1.934200048,-999.25,0.512399972,-999.25,74.19999695,-33.62099457,2373316.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.3181591
954,954,-999.25,-999.25,1.927899957,-999.25,0.589999974,-999.25,74.59999847,-33.6159935,2373547.75,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.32772446
954.5,954.5,-999.25,-999.25,1.915899992,-999.25,0.63349998,-999.25,65.30000305,-33.61099243,2373778.75,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.337286
955,955,-999.25,-999.25,1.902999997,-999.25,0.617299974,-999.25,64.69999695,-33.60599518,2374010,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.34685135
955.5,955.5,-999.25,-999.25,1.894999981,-999.25,0.547999978,-999.25,65.69999695,-33.60099411,2374241,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.35641479
956,956,-999.25,-999.25,1.886100054,-999.25,0.529500008,-999.25,66.19999695,-33.59599304,2374472.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.36597633
956.5,956.5,-999.25,-999.25,1.884699941,-999.25,0.548900008,-999.25,88.19999695,-33.59099197,2374703.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.37554169
957,957,-999.25,-999.25,1.879899979,-999.25,0.566600025,-999.25,86.90000153,-33.58599472,2374934.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.38510513
957.5,957.5,-999.25,-999.25,1.868800044,-999.25,0.584999979,-999.25,87.30000305,-33.58099365,2375165.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.39466858
958,958,-999.25,-999.25,1.878900051,-999.25,0.574500024,-999.25,85.90000153,-33.57599258,2375396.75,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.40423203
958.5,958.5,-999.25,-999.25,1.89989996,-999.25,0.598800004,-999.25,72.30000305,-33.57099533,2375627.75,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.41379547
959,959,-999.25,-999.25,1.904800057,-999.25,0.58890003,-999.25,83.37143041,-33.56599426,2375859,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.42335892
959.5,959.5,-999.25,-999.25,1.887899995,-999.25,0.573099971,-999.25,84.56857362,-33.56099319,2376090,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.43292236
960,960,-999.25,-999.25,1.872599959,-999.25,0.571200013,-999.25,85.76571683,-33.55599213,2376321,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.44248772
960.5,960.5,-999.25,-999.25,1.85679996,-999.25,0.588100016,-999.25,86.96286004,-33.55099487,2376552.25,2291421.5,0,-999.25,7.89E+15,-999.25,2291421.5,100000,3.047999859,-17.45204926
961,961,-999.25,-999.25,1.983500004,-999.25,0.606999993,-999.25,88.16000325,-33.5459938,2376783.25,2291421.5,0,-999.25,1.10E+16,-999.25,2291421.5,100000,3.047999859,-17.46161461
961.5,961.5,-999.25,-999.25,2.15899992,-999.25,0.582300007,-999.25,74.59999847,-33.54099274,2377014.5,2291421.5,0,-999.25,1.68E+16,-999.25,2291421.5,100000,3.047999859,-17.47117805
962,962,-999.25,-999.25,1.998600006,-999.25,0.538500011,-999.25,65.30000305,-33.53599548,2377245.5,2291421.5,0,-999.25,1.14E+16,-999.25,2291421.5,100000,3.047999859,-17.48073959
962.5,962.5,-999.25,-999.25,1.920400024,-999.25,0.502900004,-999.25,64.69999695,-33.53099442,2377476.75,2291421.5,0,-999.25,9.33E+15,-999.25,2291421.5,100000,3.047999859,-17.49030495
963,963,-999.25,-999.25,1.861500025,-999.25,0.486200005,-999.25,65.69999695,-33.52599335,2377707.75,2291421.5,0,-999.25,7.99E+15,-999.25,2291421.5,100000,3.047999859,-17.49986839
963.5,963.5,-999.25,-999.25,1.808099985,-999.25,0.549199998,-999.25,66.19999695,-33.52099228,2377939,2291421.5,0,-999.25,6.91E+15,-999.25,2291421.5,100000,3.047999859,-17.50943184
964,964,-999.25,-999.25,1.894999981,-999.25,0.575399995,-999.25,88.19999695,-33.51599503,2378170,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.51899529
964.5,964.5,-999.25,-999.25,1.886100054,-999.25,0.567200005,-999.25,86.90000153,-33.51099396,2378401.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.52855873
965,965,-999.25,-999.25,1.884699941,-999.25,0.556599975,-999.25,87.30000305,-33.50599289,2378632.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.53812218
965.5,965.5,-999.25,-999.25,1.879899979,-999.25,0.523800015,-999.25,69.69999695,-33.50099182,2378863.25,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.54768562
966,966,-999.25,-999.25,1.868800044,-999.25,0.554199994,-999.25,76.69999695,-33.49599457,2379094.5,2291421.5,0,-999.25,-999.25,-999.25,2291421.5,100000,3.047999859,-17.55725098
966.5,966.5,-999.25,-999.25,1.878900051,-999.25,0.502499998,-999.25,77.19999695,-33.4909935,2379325.5,2291421.5,0,-999.25,10.63373947,-999.25,2291421.5,100000,3.047999859,-17.56681252
967,967,-999.25,-999.25,1.89989996,-999.25,0.549000025,-999.25,63.79999924,-33.48599243,2379556.75,2291421.5,0,-999.25,9.13525486,-999.25,2291421.5,100000,3.047999859,-17.57637596
967.5,967.5,-999.25,-999.25,1.904800057,-999.25,0.533800006,-999.25,69.69999695,-33.48099518,2379787.75,2291421.5,0,-999.25,8.179101944,-999.25,2291421.5,100000,3.047999859,-17.58594131
968,968,-999.25,-999.25,1.887899995,-999.25,0.520799995,-999.25,76.69999695,-33.47599411,2380019,2291421.5,0,-999.25,7.256920338,-999.25,2291421.5,100000,3.047999859,-17.59550285
968.5,968.5,-999.25,-999.25,1.872599959,-999.25,0.525600016,-999.25,77.19999695,-33.47099304,2380250,2291421.5,0,-999.25,7.198217392,-999.25,2291421.5,100000,3.047999859,-17.60506821
969,969,-999.25,-999.25,1.878900051,-999.25,0.558099985,-999.25,76.80000305,-33.46599197,2380481.25,2291421.5,0,-999.25,7.245110989,-999.25,2291421.5,100000,3.047999859,-17.61463165
969.5,969.5,-999.25,-999.25,1.904600024,-999.25,0.617999971,-999.25,71.09999847,-33.46099472,2380712.25,2291421.5,0,-999.25,7.978285313,-999.25,2291421.5,100000,3.047999859,-17.6241951
970,970,-999.25,-999.25,1.937299967,17.15629959,0.615199983,-999.25,67.90000153,-33.45599365,2380943.5,2291421.5,0,-999.25,8.451023102,-999.25,2291421.5,100000,3.047999859,-17.63375854
970.5,970.5,-999.25,-999.25,1.985100031,16.7343998,0.622799993,-999.25,76.5,-33.45099258,2381174.5,2291421.5,0,-999.25,7.280643463,-999.25,2291421.5,100000,3.047999859,-17.64332199
971,971,-999.25,-999.25,2.03550005,18.3281002,0.575399995,-999.25,76,-33.44599533,2381405.75,2291421.5,0,-999.25,7.340565682,-999.25,2291421.5,100000,3.047999859,-17.65288544
971.5,971.5,-999.25,-999.25,2.062299967,19.21879959,0.53670001,-999.25,74.19999695,-33.44099426,2381636.75,2291421.5,0,-999.25,7.563828468,-999.25,2291421.5,100000,3.047999859,-17.66244888
972,972,-999.25,-999.25,2.070499897,20.9375,0.536300004,-999.25,74.59999847,-33.43599319,2381867.75,2291421.5,0,-999.25,7.513166904,-999.25,2291421.5,100000,3.047999859,-17.67201424
